mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1610.7763230800629,1008.1604306984993,0.7479052543640137,0.23104230931791606,0.8,0.05,-1,100,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 0.8}",0.9581536900836927,0.9606867127184071,0.9586517536312567,0.9591640521444521,0.0010957153650958378,57
985.1212266286215,779.546103393621,1.025163173675537,0.48022346154163686,0.8,0.05,-1,100,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 1.0}",0.9581536900836927,0.9606867127184071,0.9586517536312567,0.9591640521444521,0.0010957153650958378,57
4124.6246565183,41.139714444808256,1.1722416877746582,0.2627136848934288,0.8,0.05,-1,100,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 0.8}",0.9621561375956229,0.9653949435071186,0.9637483590831061,0.9637664800619493,0.0013222990611029427,49
3417.983993212382,346.6542546087007,1.2079713344573975,0.2650929710666211,0.8,0.05,-1,100,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 1.0}",0.9621561375956229,0.9653949435071186,0.9637483590831061,0.9637664800619493,0.0013222990611029427,49
382.00594154993695,43.77588059801135,0.9202620188395182,0.1767855638707068,0.8,0.05,-1,200,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",0.9697337787225427,0.973317806693332,0.9703670048967641,0.971139530104213,0.001561817428715212,29
515.2485724290212,42.19395235571863,1.5848754247029622,0.41119175251926016,0.8,0.05,-1,200,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 1.0}",0.9697337787225427,0.973317806693332,0.9703670048967641,0.971139530104213,0.001561817428715212,29
6914.550188144048,1309.1737067754848,1.9769972960154216,0.9181712068634461,0.8,0.05,-1,200,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 0.8}",0.9725521912753374,0.9762434290335624,0.9735209562717506,0.9741055255268835,0.0015626046540891116,17
6632.9120807647705,1148.787499612271,0.6904303232828776,0.136087665262086,0.8,0.05,-1,200,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 1.0}",0.9725521912753374,0.9762434290335624,0.9735209562717506,0.9741055255268835,0.0015626046540891116,17
167.77595949172974,3.7768271693082376,1.2117554346720378,0.26176388153064645,0.8,0.05,10,100,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 0.8}",0.9556040387640165,0.959833443355507,0.9594867650030309,0.9583080823741849,0.0019172785146813404,61
236.28211482365927,30.89040024268068,2.57177726427714,2.2184098093840836,0.8,0.05,10,100,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 1.0}",0.9556040387640165,0.959833443355507,0.9594867650030309,0.9583080823741849,0.0019172785146813404,61
