Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.9529613977321347,0.9577982903747735,0.9503944877242816,0.9540791129350955,0.9907896384068728
Multinomial NB,0.8534399623425358,0.838007018992456,0.8863222764120403,0.8614732007197284,0.9281898530640902
AdaBoost,0.9074659446220268,0.9287422085842394,0.8882777947713206,0.907989984608089,0.9704836020761716
Random Forest,0.9528399513276433,0.950330474612399,0.9583867758144866,0.9543332504271929,0.9908672265900764
Linear SVM,0.9645606176228178,0.9650662446989084,0.9660415456113638,0.9655522510484534,0.9934481299820123
LightGBM,0.970472939319246,0.9707349074300066,0.9718756588156499,0.9713020652537621,0.9956618346113881
